window_end,effective_N,analyzed_N,effective_ratio
2024-02-26,4.0800838623546545,12,0.3400069885295545
2024-02-27,4.083984465425206,12,0.34033203878543383
2024-02-28,4.082306962393915,12,0.34019224686615956
2024-02-29,4.08742168717986,12,0.34061847393165495
2024-03-01,4.085991241276237,12,0.3404992701063531
2024-03-04,4.09299777759472,12,0.3410831481328933
2024-03-05,4.095131260636999,12,0.34126093838641663
2024-03-06,4.093661782547288,12,0.3411384818789407
2024-03-07,4.093956261573043,12,0.34116302179775354
2024-03-08,4.0914561148061654,12,0.3409546762338471
2024-03-11,4.0959883202199014,12,0.3413323600183251
2024-03-12,4.100546378859113,12,0.34171219823825943
2024-03-13,4.099974156542753,12,0.34166451304522943
2024-03-14,4.099027095562775,12,0.3415855912968979
2024-03-15,4.10153881567878,12,0.34179490130656504
2024-03-18,4.102745759934508,12,0.34189547999454234
2024-03-19,4.103762255033597,12,0.3419801879194664
2024-03-20,4.1066368278047785,12,0.3422197356503982
2024-03-21,4.1079729261367985,12,0.34233107717806655
2024-03-22,4.1038871926345735,12,0.34199059938621446
2024-03-25,4.107727972873096,12,0.34231066440609137
2024-03-26,4.108174742318219,12,0.3423478951931849
2024-03-27,4.104046385026111,12,0.3420038654188426
2024-03-28,4.104479057453121,12,0.34203992145442674
2024-04-02,4.106566331285783,12,0.3422138609404819
2024-04-03,4.107558110607095,12,0.3422965092172579
2024-04-08,4.10552945981335,12,0.3421274549844458
2024-04-09,4.1059945353465785,12,0.3421662112788815
2024-04-10,4.109886025697225,12,0.34249050214143545
2024-04-11,4.106374287863312,12,0.34219785732194263
2024-04-12,4.102794781466251,12,0.3418995651221876
2024-04-15,4.10741264597416,12,0.3422843871645133
2024-04-16,4.109447458566773,12,0.34245395488056446
2024-04-17,4.107975065825182,12,0.34233125548543186
2024-04-18,4.10577110999278,12,0.34214759249939836
2024-04-19,4.106248707170927,12,0.34218739226424394
2024-04-22,4.111195579613961,12,0.34259963163449675
2024-04-23,4.114670084729785,12,0.3428891737274821
2024-04-24,4.109680854916357,12,0.3424734045763631
2024-04-25,4.107140038070524,12,0.3422616698392103
2024-04-26,4.109216824111141,12,0.3424347353425951
2024-04-29,4.111490232121064,12,0.34262418601008865
2024-04-30,4.110135797365546,12,0.3425113164471288
2024-05-06,4.099939500088131,12,0.34166162500734426
2024-05-07,4.0981418473126965,12,0.3415118206093914
2024-05-08,4.091590225929549,12,0.3409658521607957
2024-05-09,4.085153840457182,12,0.3404294867047652
2024-05-10,4.088142143854207,12,0.3406785119878506
2024-05-13,4.091278405422245,12,0.3409398671185204
2024-05-14,4.091996546309065,12,0.34099971219242203
2024-05-16,4.087263023480025,12,0.34060525195666874
2024-05-17,4.084397002512373,12,0.34036641687603103
2024-05-20,4.075679634365824,12,0.3396399695304853
2024-05-21,4.077063722277174,12,0.3397553101897645
2024-05-22,4.077837223122534,12,0.3398197685935445
2024-05-23,4.065933458567033,12,0.3388277882139194
2024-05-24,4.056877060203609,12,0.33807308835030075
2024-05-28,4.059627638273469,12,0.3383023031894557
2024-05-29,4.060131020769577,12,0.33834425173079813
2024-05-30,4.069975665893895,12,0.33916463882449127
2024-05-31,4.071851912309011,12,0.3393209926924176
2024-06-03,4.079040501324207,12,0.33992004177701723
2024-06-04,4.082936318223225,12,0.34024469318526873
2024-06-05,4.081657398416979,12,0.3401381165347483
2024-06-06,4.082354048691985,12,0.3401961707243321
2024-06-07,4.079163317438123,12,0.3399302764531769
2024-06-11,4.08333283647601,12,0.3402777363730008
2024-06-12,4.090579307587636,12,0.34088160896563635
2024-06-13,4.096731324962263,12,0.3413942770801886
2024-06-14,4.085545786484758,12,0.34046214887372983
2024-06-17,4.084916628068362,12,0.3404097190056969
2024-06-18,4.082423883054037,12,0.3402019902545031
2024-06-20,4.080213209357872,12,0.3400177674464893
2024-06-21,4.0892375912185805,12,0.34076979926821505
2024-06-24,4.086150601636778,12,0.34051255013639814
2024-06-25,4.097486362159756,12,0.3414571968466464
2024-06-26,4.1088916357101315,12,0.34240763630917764
2024-06-27,4.106409059238557,12,0.34220075493654645
2024-06-28,4.111813234144743,12,0.3426511028453953
2024-07-02,4.12507286950359,12,0.34375607245863254
2024-07-03,4.125952705863351,12,0.34382939215527925
2024-07-05,4.147544765023573,12,0.3456287304186311
2024-07-08,4.142610885108389,12,0.3452175737590324
2024-07-09,4.140755912444767,12,0.3450629927037306
2024-07-10,4.156578259986837,12,0.34638152166556974
2024-07-11,4.149770547809784,12,0.34581421231748205
2024-07-12,4.150572771740061,12,0.3458810643116717
2024-07-15,4.154432500648819,12,0.3462027083874016
2024-07-16,4.157161897883899,12,0.3464301581569916
2024-07-17,4.162712769173334,12,0.3468927307644445
