asset_1,asset_2,window,status,n_windows,first_window_end,last_window_end,median,p10,p90,min,max,latest
GOLD,NASDAQ100,756,OK,1518.0,2020-03-10,2026-08-31,0.005704738770785126,-0.011855838857949396,0.01836311816771866,-0.06234367607313373,0.058758528640516915,-0.007528285991022429
GOLD,HK_BROAD,252,OK,2033.0,2018-01-10,2026-09-01,0.01675504222817954,-0.12981726347134204,0.16035022083239167,-0.33177096375603304,0.382546337206238,0.36470398748333777
GOLD,HK_BROAD,756,OK,1529.0,2020-03-04,2026-09-01,0.015118103266248302,-0.05323711073107346,0.08217559896503991,-0.16466520781867924,0.1874233449396556,0.18368824708678438
GOLD,CN_GROWTH,252,OK,2102.0,2017-12-28,2026-09-01,-0.05118323887944135,-0.19713462129167006,0.19320953211999686,-0.2618948545767436,0.2843944916262641,0.2052508880822264
GOLD,CN_GROWTH,756,OK,1598.0,2020-02-03,2026-09-01,0.01674971961952928,-0.07360560960650903,0.07458470932265211,-0.16418183224552393,0.10917086119476252,0.10066296572465268
GOLD,CN_LARGE,252,OK,2102.0,2017-12-28,2026-09-01,0.0034138173120377997,-0.17625755278980593,0.22477239020014864,-0.298568610411645,0.45802597380314747,0.3812940970066717
GOLD,CN_LARGE,756,OK,1598.0,2020-02-03,2026-09-01,0.017940475002372856,-0.043220465990664335,0.11432569445137257,-0.16407409863707614,0.20664987898320403,0.19939242740075022
GOLD,CN_DIVIDEND,252,OK,2101.0,2017-12-28,2026-09-01,0.02943555861706634,-0.18343879732633137,0.2022643849249867,-0.2944756102149634,0.49254436713666233,0.3949812331430303
GOLD,CN_DIVIDEND,756,OK,1597.0,2020-02-03,2026-09-01,0.01620250253737686,-0.055267631606370986,0.09900926109280186,-0.17385985746865046,0.22086550864296028,0.217408605029437
GOLD,CONSUMER,252,OK,2102.0,2017-12-28,2026-09-01,-0.010455898619823765,-0.14478421889414847,0.2203137912926667,-0.24728748766942468,0.3418626101186307,0.2758292092431808
GOLD,CONSUMER,756,OK,1598.0,2020-02-03,2026-09-01,0.03265173828594428,-0.04820948123703622,0.0845543990168034,-0.126688063157149,0.12646874844380784,0.09599812023339703
GOLD,CN_SMALL,252,OK,2102.0,2017-12-28,2026-09-01,-0.005911456638739907,-0.16946259325324606,0.26730559692894545,-0.22561226196375164,0.4110835101237656,0.37214395853047477
GOLD,CN_SMALL,756,OK,1598.0,2020-02-03,2026-09-01,0.03407404009143532,-0.04775014136113178,0.1080965675032245,-0.1450757537336301,0.2026908761719296,0.19639830760329408
